index,title,genres,story_line,cast,director
0,Jawan,"Action, Drama, Thriller",,"Shah Rukh Khan,Nayanthara,Vijay Sethupathi,Deepika Padukone",Atlee
1,Gaslight,"Crime, Mystery, Thriller","Misha, who returns to her royal family estate after 15 years to visit her estranged father, only to find him missing.","Sara Ali Khan,Vikrant Massey,Chitrangda Singh,Rahul Dev",Pavan Kirpalani
2,Tiger 3,"Action, Adventure, Thriller",,"Salman Khan,Katrina Kaif,Shah Rukh Khan",Maneesh Sharma
3,Am I Next,Crime,"A sudden shock grabs the family of 14-year old Honey, when they get to know that their teenage daughter is pregnant. She was raped and now there is a long court battle to seek her right to terminate the pregnancy.","Anushka Sen,Neelu Dogra,Tariq Khan,Ahmer Haider",Rahat Kazmi
4,Shehzada,"Action, Comedy, Drama","Bantu is hated by his father Valmiki since he was a toddler. Samara, his boss, shows him affection and love until he discovers that the Jindals are his parents. Bantu decides to seek Jindals love and protect them from threats they facing.","Kartik Aaryan,Kriti Sanon,Paresh Rawal,Manisha Koirala",Rohit Dhawan
5,Gumraah,"Action, Crime, Drama","The murder investigation of a young man , takes an unexpected turn when the cops discover that the prime suspect has a lookalike.","Mrunal Thakur,Aditya Roy Kapoor,Ronit Roy,Vedika Pinto",Vardhan Ketkar
6,Animal,"Action, Crime, Drama",A gangster drama that explores the turbulent relationships between all the characters that eventually lead to the protagonist becoming an 'animal' in nature.,"Ranbir Kapoor,Rashmika Mandanna,Anil Kapoor,Fahim Fazli",Sandeep Reddy Vanga
7,Yodha,"Action, Drama, Thriller",An Aeroplane hijack where a soldier helps the passenger and fight against the terrorist. But the damage to the flight engine made it very tough to survive the situation.,"Raashi Khanna,Disha Patani,Sidharth Malhotra,Rahul Sahu",
8,Lohardaga,Drama,"A twenty year old boy Manu, who dreams of joining the Indian Army, ends up joining Maoists because of a dubious job agent, who manipulates Manu that the government is awarding jobs to the Maoists who surrender.","Priya Ambust,Raquib Arshad,Sanjay Barman,Amit Kumar Bhagat",Lal Vijay Shahdeo
9,Bade Miyan Chote Miyan,"Action, Comedy, Thriller",,"Akshay Kumar,Janhvi Kapoor,Tiger Shroff,Alaya F",Ali Abbas Zafar
10,Gandhi Godse Ek Yudh,"Drama, History",The fictional world where Mahatma Gandhi survives the attack on him and later meets Nathuram Godse in prison. Their conversation leads to a fiery debate between them.,"Deepak Antani,Chinmay Mandlekar,Tanisha Santoshi,Anuj Saini",Rajkumar Santoshi
11,Gadar 2,"Action, Drama","Set during the Indo-Pakistani War of 1971, Tara Singh returns to Pakistan to bring his son, Charanjeet, back.","Gaurav Chopra,Sunny Deol,Ameesha Patel,Manish Wadhwa",Anil Sharma
12,Rocky Aur Rani Ki Prem Kahani,"Comedy, Drama, Family",A rich guy falling in love with a middle-class girl and how the parents are unhappy with this union,"Ranveer Singh,Alia Bhatt,Dharmendra,Zessica Harison",Karan Johar
13,The Archies,"Comedy, Drama, Musical",,"Khushi Kapoor,Suhana Khan,Vedang Raina,Rohit Chetry",Zoya Akhtar
14,Ganapath,"Action, Drama, Sci-Fi",,"Tiger Shroff,Adi Chugh,Amitabh Bachchan,Kriti Sanon",Vikas Bahl
15,Adipurush,"Action, Adventure, Drama",Adaptation of Indian mythology that depicts the triumph of good over evil.,"Prabhas,Saif Ali Khan,Kriti Sanon,Vatsal Sheth",Om Raut
16,Dream Girl 2,"Comedy, Drama, Romance","Karam, who is trying to live a serious life in Mathura and falls in love with Pari but life is hell bent on not taking him seriously. In a turn of events Karam becomes Pooja which creates further chaos in his already chaotic life.","Paresh Rawal,Ananya Panday,Ayushmann Khurrana,Annu Kapoor",Raaj Shaandilyaa
17,Operation Fryday,"Action, Crime, Drama",It is a realistic film about poor people based in Mumbai who turn criminals.,"Suniel Shetty,Randeep Hooda,Nitu Chandra,Rukhsar Rehman",Vishram Sawant
18,SamBahadur,"Biography, Drama, War","Based on the life of Sam Manekshaw who was the Chief of the Army Staff of the Indian Army during the Indo-Pakistani War of 1971, and the first Indian Army officer to be promoted to the rank of field marshal.","Vicky Kaushal,Fatima Sana Shaikh,Sanya Malhotra,Edward Sonnenblick",Meghna Gulzar
19,Ek Tha Hero,"Drama, Family",A 11 year old village boy fondly called as HERO who has a passion for CYCLE and dreams of having his own CYCLE someday. He has to go through a roller coaster ride to make his DREAM COME ...       »,"Govardhan Asrani,Ashwini Kalsekar,Ayush Mahesh Khedekar,Amita Pathak",Yogesh Pagare
20,Merry Christmas,Thriller,,"Vijay Sethupathi,Katrina Kaif,Sanjay Kapoor,Tinnu Anand",Sriram Raghavan
21,Fukrey 3,"Comedy, Drama",,"Ali Fazal,Pankaj Tripathi,Farhan Akhtar,Richa Chadha",Mrighdeep Lamba
22,Untitled Soorarai Pottru remake,"Action, Drama","Inspired by real-life events, follows the journey of a man as he sets out to make air travel more accessible and overcomes challenges of the highly capital-intensive aviation industry, with a unwavering determination.","Akshay Kumar,Radhika Madan,Paresh Rawal,R. Sarathkumar",Sudha Kongara
23,Mrs Undercover,"Action, Comedy","A simple Indian housewife who is in fact a special undercover agent is called back on the job after 10 years of being undercover to take down a terrifying, psycho killer while maintaining her parallel life of a housewife.","Radhika Apte,Roy Angana,Sumeet Vyas,Rajesh Sharma",Anushree Mehta
24,Haddi,"Crime, Drama","A tale of small town boy Hari, who has this desire of becoming a woman, The Story Shows History of Indian Transgenders.","Anurag Kashyap,Nawazuddin Siddiqui,Shriidhar Dubey,Ila Arun",Akshat Ajay Sharma
25,InCar,"Drama, Thriller",A kidnapped girl's terrifying journey of survival.,"Sandeep Goyat,Manish Jhanjholia,Gyan Prakash,Samsher Singh Sam",Harsh Warrdhan
26,Joram,Thriller,It follows a father who is on the run with his little baby girl to escape the ghosts of his past and the forces that want him dead.,"Mohd. Zeeshan Ayyub,Manoj Bajpayee,Tannishtha Chatterjee,Rajshri Deshpande",Devashish Makhija
27,A Winter Tale at Shimla,"Drama, Romance","A Mature Sensible Love Story Where A Man Meets His Long Lost Love After Two Decades .The rekindled affair could be ruinous, for the jealous husband who is a DIG Police Officer, a brute with a unenviable reputation.","Gauri Pradhan Tejwani,Indraneil Sengupta,Deepraj Rana,Rituraj Singh",Yogesh Verma
28,Tariq,"Action, Drama, Thriller",,"John Abraham,Rishad Mahmud,Rukmini Maitra,Gajala",Arun Gopalan
29,Bull,"Action, Drama",Inspired by the real-life events of Brigadier Bulsara of Indian Army.,"Shahid Kapoor,Parth Siddhpura",Sangeeth Sivan
30,Indian Gurjar,Action,"There was a girl when she was about to be born her grandparents and relatives of the house were preparing for the celebration because they thought there would be a boy but it was not so, ...       »","Jennie Kim,Lalisa Manoban,Firoz Chaudhary",Firoz Chaudhary
31,Aankh Micholi,"Comedy, Family",A family of misfits is trying to hide some secrets from the NRI suitor and his family as they want their daughter to get married to a well-to-do NRI guy. Then a series of comical twists and turns.,"Paresh Rawal,Sharman Joshi,Abhimanyu Dasani,Mrunal Thakur",Umesh Shukla
32,Bawaal,"Action, Drama, Romance",A small-town man who falls in love with the most beautiful girl in town. He wants to marry her one day because marrying her can rise up his social position.,"Varun Dhawan,Janhvi Kapoor,Parth Siddhpura,Arnob Khan Akib",Nitesh Tiwari
33,Swatantra Veer Savarkar,"Biography, Drama","The life journey of Indian freedom fighter and reformer Vinayak Damodar Savarkar, popularly known as Veer Savarkar.","Randeep Hooda,Amit Sial,Ankita Lokhande,Ed Robinson",Mahesh Manjrekar
34,Maidaan,"Biography, Drama, History","Inspired by the Indian national football team coach and manager Syed Abdul Rahim, who is regarded as the architect of Indian football.","Ajay Devgn,Priyamani,Gajraj Rao,Abhinay Raj Singh",Amit Ravindernath Sharma
35,Zindagi Shatranj Hai,Thriller,A men whose wife not ready to accept him has a husband despite of the fact that everyone else was telling that he is her husband.,"Bruna Abdullah,Shawar Ali,Ekta Jain,Rajkumar Kanojia",Dushyant Pratap Singh
36,Bicycle Days,Drama,"Until the time machine becomes a reality, a person can always ride a bicycle to relive his or her childhood. Bicycle Days takes one on a trip down memory lane for anybody and everybody, ...       »","Darshit Khanwe,Mitul Gupte,Parv Agarwal,Umesh Shukla",Devyani Anant
37,The Devotion of Suspect X,Thriller,A single mother and her daughter who commit a crime and a neighbor who helps them cover it up amidst a police investigation.,"Kareena Kapoor,Jaideep Ahlawat,Vijay Varma,Lin Laishram",Sujoy Ghosh
38,Pippa,"Action, Drama, History",Revolves around Brigadier Balram Singh Mehta of the 45th Cavalry tank squadron who fought on the eastern front during the Indo-Pakistan war of 1971 along with his siblings.,"Ishaan Khattar,Mrunal Thakur,Priyanshu Painyuli,Inaamulhaq",Raja Menon
39,Satyaprem Ki Katha,"Drama, Musical, Romance",,"Kiara Advani,Kartik Aaryan,Supriya Pathak,Ritu Shivpuri",Sameer Vidwans
40,Chhipkali,"Drama, Thriller","Our limited understanding of the world, our misconceptions about life, derived only from what we directly witness. It highlights our incapability to look beyond the stereotyped realism.","Yashpal Sharma,Yogesh Bhardwaj,Tannistha Biswas",Koushik Kar
41,The Journey of Donkers,Thriller,,"Ankit Hans,Gulshan Nain,Harry Sachdeva,Col Ravi Sharma",Abnash Kumar Bhola
42,Penthouse,"Crime, Mystery, Thriller",A debauchery-filled gathering for five friends turns into a test of friendship and a web of suspicion when a dead body is found in their rented home.,"Mouni Roy,Tisca Chopra,Bobby Deol,Arjun Rampal",
43,The Era of 1990,"Action, Thriller",Shiv and Shanky who have been film pirates from a young age. All is well until shiv finds out that his uncle has murdered his father.,"Sara Khan,Mir Sarwar,Satish Bhat,Aarti Bhagat",Shahid Kazmi
44,Karma Strikes,"Drama, Romance, Thriller",Every Love Story faces its Karma; so did theirs.,"Johnny Serret,Sagar Sharma,Puja S,Yuvradnyee",Kartik Swaminathan Venkatraman
45,Bad Boy,"Comedy, Drama, Romance","A middle-class, undisciplined boy falls in love with a highly educated girl whose family is very disciplined and traditional. The struggles of this young couple as they try to make their relationship work against all odds.","Namashi Chakraborthy,Amrin Qureshi,Darshan Jariwala,Johny Lever",Rajkumar Santoshi
46,The Check Post,Drama,"""The Check Post"" is based on the story of a young journalist who a meets with a little girl selling peanuts on a Check Post. The movie is directed by British-Iranian Director Mr. Hassan Nazer ( Winners ) Fame.","Mohammad Babulu,Smita Choudhury,Krishna Gautam,Satyam Joseph",Hassan Nazer
47,Main Atal Hoon,"Biography, Drama","A biopic of former prime minister Atal Bihari Vajpayee, who was the 10th Prime Minister and held the post for three times while serving the country. He was awarded by Bharat Ratna and Padma...       »",,Ravi JadhavStar:Pankaj Tripathi
48,Shaktimaan,"Action, Drama","Revolves around the protagonist and also the first Indian superhero Shaktimaan.Who got his power through devotion to the God, Activated All the chakras, so he can manipulate almost every thing in this world.","Mukesh Khanna,Prashant Singh,Vrushin Patel",
49,All India Rank,Comedy,"Set in the late 1990s, ALL INDIA RANK is a slice-of-life dramedy about 17-year old Vivek who is sent away from home to a prep school to prepare for the highly competitive IIT (""the MIT of India"") entrance examination.","Shashi Bhushan,Sheeba Chaddha,Bodhisattva Sharma,Geeta Agrawal Sharma",Varun Grover
50,Main Raj Kapoor Ho Gaya,Drama,"A man who despite being born in a world full of hoggish beliefs, chooses to live a life of truth and honesty. He believes the fact that God created everyone as equals. Can he fight the system with his beliefs?","Shravani Goswami,Anant Jog,Harshita Kashyap,Arshin Mehta",Manav Sohal
51,Sleeping with The Enemy,"Crime, Drama, Thriller",,"Nataliya Kozhenova,Vinod Kumar,Feroz Pathan,Sejal Shah",Dhananjay Galani
52,The Y,"Horror, Mystery, Thriller",The Female Protagonist is a Mute. After her marriage the couple enters a new chapter of their life but face another dilemma which they least expect. They experience paranormal incidents and their daily life turns into a mysterious tale.,"Yuvan Hariharan,Leonilla,Apsara,Chethan A",Girideva Raaj
53,Angoor,"Drama, Romance",,"Manoj Ahuja,Ajay Bafna,Jha Bharti,Sabir Shaikh",Sunil Tripathi
54,Who Am I,Drama,"Based on the critically acclaimed novel KO aham By AshokJamnani, The story is set in a small town based on the banks of the river Narmada. Bhavitavya, a philosophy student who is currently ...       »","Rishika Chandani,Mayank Jadhav,Gaurav Kamble,Subeer Kasali",Shireesh Khemariya
55,Kanwar,Drama,Dance of sin and morality in the chaotic world of Kanwar pilgrimage that pushes a group of boys to a gray area between right and wrong.,"Amit Malik,Nitin Rao,Narendra Rao,Rishab Parashar",Praful Tyagi
56,Hume Toh Loot Liya,Comedy,,"Sidhant Singh,Priti Sharmaa,Sanjay Mishra,Rajpal Naurang Yadav",Surendra Verma
57,Lakadbaggha,"Action, Comedy, Crime","An animal loving vigilante Arjun Bakshi, unearths the fact that an underground illegal animal trade cell functions from Kolkata port. On investigating he chances upon a rare species of the Indian Striped Hyena (Lakadbaggha).","Anshuman Jha,Riddhi Dogra,Paresh Pahuja,Milind Soman",Victor Mukherjee
58,Metro... In dhino,"Drama, Romance",,"Anupam Kher,Ali Fazal,Aditya Roy Kapoor,Sara Ali Khan",Anurag Basu
59,Tipppsy,"Adventure, Thriller","Things go wrong for a group of girl friends who go to Goa, for a bachelorette party.","Deepak Tijori,Kainaat Arora,Alankrita Sahai,Aditya Lakhia",Deepak Tijori
60,Welcome to Kashmir,"Mystery, Thriller","The girl visits Kashmir and one of her psycho,drug addicted social media follower 'Zulfi' kidnaps her. Zulfi is under influence of a fake baba who provokes him. She proves her stand about women and fight back.","Ahmad Shahab,Mateena Rajput,Rehan Tariq,Simran Ahuja",Tariq Bhat
61,Sri,"Biography, Drama",An industrialist Srikanth Bolla who didn't let his visual impairment come in the way of his vision and founded Bollant Industries.,"Rajkummar Rao,Alaya F,Sharad Kelkar,Jyotika",Tushar Hiranandani
62,Ho Ja Mukt,Drama,21-year old Vicky is diagnosed with mental health issues and starts having illusory images which he needs to break out of while his parents constantly fail to understand his situation.,"Shibani Bedi,Asif Ali Beg,Krishna Chaturvedi,Sasha Goradia",Sumeet Nagdev
63,Emergency,"Drama, History",Based on the emergency period in India between 1975-1977 announced by Prime Minister Indira Gandhi.,"Anupam Kher,Kangana Ranaut,Scott Alexander Young,Shreyas Talpade",Kangana Ranaut
64,Aazam,"Crime, Drama, Mystery","The succession battle of mafia don Nawab Khan, who is suffering from blood cancer and has only 10-15 days to live. Huh. Nawab Khan controls the syndicate of 5 partners in governing the city...       »","Jimmy Shergill,Abhimanyu Singh,Indraneil Sengupta,Sanjeev Tyagi",Shravan Tiwari
65,Ab Dilli Dur Nahin,Drama,"Abhay Shukla, a boy from a small town in Bihar reaches Delhi in the desire of success. Abhay comes from a family that is struggling with difficulties. Abhay aims to appear in the IAS exam and achieve success.","Satyakam Anand,Mahesh Bhatt,Rajiv Mishra,Shruti Sodhi",Kamal Chandra
66,The Vaccine War,Drama,Focuses on the vaccine for covid-19 during the pandemic.,"Anupam Kher,Nana Patekar,Sapthami Gowda,Pallavi Joshi",Vivek Agnihotri
67,Wrong Way,Horror,Shiva and his 4 friends are driving to Lonavala to have some good time but little did they know what awaits them,"Naveen Jagbir Sandhu,Shiva Dagar,Ankita Sharma,Gamya Wijayadasa",Salil Sand
68,Manduka,"Crime, Mystery, Thriller",A girl suffering from schizophrenia accidentally meets four criminals. Meanwhile in an hide and seek with Police and the criminals lies the mystery.,"Anjala,Bhushan,Karuppu,Madan",Bhushan
69,Secrets of Love,Biography,,"Jayesh Kapoor,Ravi Kishan,Vivek Anand Mishra,Siddhant Pandey",Ritesh s Kumar
70,8 Years,Drama,"After their families oppose marriage due to caste differences, Rohit and Priya spend the next couple of days in despair wondering about the uncertain future of their relationship.","Dharm Prakash,Aparna Upadhyay,Pankaj Yadav,Bhagat Singh",Bhagat Singh
71,Timir,"Horror, Mystery, Thriller",A rich businessman is dead under mysterious and horrific circumstances. Her father is accused of sneaking in an occult expert inside the hospital and performing rituals on her which ...       »,"Nidhi Bisht,Vaibhavi Upadhyaya,Anjum Rajabali,Rashmi Somvanshi",Atul Kumar Dubey
72,Junglemahal: The Awakening,Horror,Loosely based on real incidents in the monsoon of mid 80s during the uprising of naxalites in eastern ghat range a group of travellers travels through the deep forests to reach the rescue ...       »,"Masoomeh Ab,Aditya Baliyan,Farhad Khairy,Suraiya Parvin",Arunava Chowdhury
73,Firrkie,Thriller,,"Jackie Shroff,Neil Nitin Mukesh,Kay Kay Menon,Karan Singh Grover",Ashok K Mishra
74,Khela Hobe,Drama,"This story revolves around a woman who decides to contest election to take revenge against the oppression faced by her and her family. She fights election with a new agenda, other ...       »","Aaryan,Rati Agnihotri,Sanjay Batra,Mugdha Godse",Sunil Sinha
75,Yeh Shaadi Nahi Ho Sakti,Comedy,Yeh Shaadi Nahi Ho Sakti is based on Shakespeare's classic comedy with a Desi twist. Lakshman can't marry his lady love Priya until her stubborn elder sister Pallavi gets married. As a ...       »,"Prajakta Koli,Shikha Talsania,Chaitnya Sharma,Adhaar Khurana",Akarsh Khurana
76,Kaushaljis VS Kaushal,Drama,,"Isha Talwar,Ashutosh Rana,Sheeba Chaddha,Pavail Gulati",Seema Desai
77,Yaariyan 2,"Comedy, Drama, Musical","A fun roller coaster ride about three young people reach Bangalore to dream, discover and explore, relocate to Bangalore where they face challenges that transform their lives.","Yash Dasgupta,Pearl V Puri,Warina Hussain,Anaswara Rajan",
78,Ticket ek Sangharsh,Thriller,"In Rudranagar, the ticket is not just integral but also has multiple and divergent connotations. Although meanings would not be consensually agreed upon, but the desire to get one ticket at all costs unifies them all.","Mahi Dubey,Abhishek Vyas,Ajay Manjhi,Neha Sharma",Mahi Dubey
79,Oye Jassi Oye,"Comedy, Romance, Thriller",,"Ashish Bhat,Ganya Rajput",Ganya Rajput
80,The Last Coffee,Drama,"On the verge of a divorce, Rehaan and Iram meet for one last time over coffee. But they get stuck in a snowstorm and are left with no choice except to confront their pent-up feelings.","Ankita Lokhande,Shoib Nikash Shah",Shoib Nikash Shah
81,Sachin: The Ultimate Winner,Adventure,A school boy named Sachin wants to be a successful cricketer like Sachin Tendulkar. Unfortunately Sachin meets with an accident and gets paralyzed. Will he make a full recovery and become a cricketer?,"Ved Thappar,Dhruv Raj,Shivani Sharma,Dweep Raj Kochhar",Dweep Raj Kochhar
82,Victor,Thriller,"'VICTOR' is a crime thriller set in London with the backdrop of 2008 financial crash. The plot is based on kidnap, ransom, murder and betrayal.","Amit Sadh,Jamie Humphrey,Atul Sharma,Manoj Anand",Sudipto Sarkar
83,Angithee 2,Drama,"Kavya, a married woman, lives a dull life with her husband Rajeev in a small town of Jammu. Sick of the monotonous routine, she seeks happiness and excitement. This is when a young boy enters her life and makes her feel liberated.","Rishi Bhutani,Fezan Khan,Shafaq Naaz",Shoib Nikash Shah
84,Dr. Hedgewar,Biography,"Hero of India, who participated actively in the war of independence against the British and Formed The Largest Organisation in The World RSS, that still helping build the nation. Story of Doctor K. B. Hedgewar.","Sunny Mandavarra,Master Tejas,Milind Dastane,Harish Gawai",Sunny Mandavarra
85,Woh Ladki Hai Kahaan,"Comedy, Drama",An investigative comedy where a lady cop and a groom starts looking for the bride.,"Taapsee Pannu,Pratik Gandhi,Prateik Babbar,Sanjay Chaudhury",Arshad Syed
86,Kakuda,Comedy,"This horror-comedy film follows a town trapped in time by a curse and 3 of its inhabitants face a ghost that makes them question superstition, tradition and love.","Sonakshi Sinha,Riteish Deshmukh,Saqib Saleem,Arun Dubey",Aditya Sarpotdar
87,The Last Coffee,Drama,,"Shoib Nikash Shah,Ankita Lokhande",Shoib Nikash Shah
88,Mrs. Falani,Drama,,"Swara Bhaskar,Rajesh Bonik,Ankita Rajpoot",
89,Sector Balakot,War,"The story begins with a Shootout scene where NIA officers are on raid to a secret location in Jungle where 8 Terrorists and 1 Master mind is hiding, who are planning a Big event before the ...                See full synopsis »","Elakshi A Gupta,Vipul Gupta,Ridoyanul Hoq,Puneet Issar",Hitesh Paulbhai Khristy
90,Pedigree,Drama,,"Chhaya Kadam,Vipin Mekkail,Aabha Singh",Jacob Paul
91,Rosh,"Drama, Thriller",Rajat Ronika and Alina hits a delivery boy on road and he dies on the spot. After some time door bell rings and an injured delivery boy enters in house stating he is late because someone hit him on road by a car and thrill starts.,"Alina Rai,Mimoh Chakraborty,Nikita Soni,Vrajesh Hirjee",Jayveer Panghaal
92,Hum Banjarey: The Reluctant Crime,Drama,"Hum Banjarey: The Reluctant Crime"" is a thought-provoking drama that delves into the lives of Jokhu, Gogai, and Basanti - nomads living on the fringes of society in India. Deprived of basic...       »","Rakhi Mansha,Navya Pandey,Dharmendra Ahir,Awanish Kotnal",Arvind Pratap
93,LaVaste,Thriller,,"Kurush Deboo,Manoj Joshi,Brijendra Kala,Omkar Kapoor",Sudeesh Kanaujia
94,Ittar,"Drama, Romance",A middle-aged couple who find strange love and comfort in each other's company.,"Deepak Tijori,Rituparna Sengupta,Farhan Tanzim Sagor,Sanyogita Bhave",Veena Bakshi
95,Kaal Trighori,"Horror, Thriller","Myths exist worldwide, some true, others merely beliefs. While some are widespread, others remain obscure, like ""Kaal Trighori,"" the most dangerous month of the century, appearing once every 100 years has already arrived in April 2022.","Arbaaz Khan,Mahesh Manjrekar,Aditya Srivastav,Rituparna Sengupta",Nitin Vaidya
96,Aatmapamphlet,"Comedy, Drama",A young boy growing up amidst massive social and economic changes in 1990s India.,"Om Bendkhale,Bhimrao Mude,Ketaki Saraf,Pranjali Shrikant",Ashish Bende
97,Helen,Thriller,,"Sunny Leone,Sagar Mahant",Saurabh Choudhary
98,3rd October,Drama,"Two lawyers with two different perspectives, both right in their own place which reveals the role of the justice system and the media in our society.","Moin Khan,Hiten Tejwani,Sneha Ullal,Kanchi Singh",Vineet Jha
99,Chatrapathi,"Action, Drama","It centers on a man named Shivaji, who becomes the messiah of the people of a small hamlet where he grew up.","Sai Srinivas Bellamkonda,Nushrratt Bharuccha,Karan Singh Chhabra,Vedika Nawani",V.V. Vinayak
100,Moha,Drama,"The deliberately slender storyline involves a spiritual male hermit, a female nymph who tempts him into secular ways of the flesh, and a rival lover.","Jaaved Jaaferi,Shaylea K",Santosh Sivan
101,Rat on a Highway,Thriller,,"Randeep Hooda,Selina Youngerman,Jithu Paul,Yasir Abbas",Vivek Singh Chauhan
102,Music School,Musical,"This heart-warming 11-song musical is about how the prevailing Indian education system and parents put pressure on children to be competitive in their ""studies, thereby leaving no time for ...       »","Shriya Saran,Prakash Raj,Sharman Joshi,Suhasini Mulay",Paparao Biyyala
103,Anubhooti...At Metaphysical World,Sci-Fi,"Some Metaphysics Scientist's Vedant, Aaditya, Preetika, Mohit and Himanshi who formed a group to do research on metaphysical world which is beyond the human sense organ. They decided to ...       »","Abhishek Shrivastava,Sarthak Raturi,Vasant Jha,Trilok Chauhan",Vasant Jha
104,The Underbug,Horror,"As India is ravaged by sectarian violence on the eve of its Independence Day, two rioters take refuge in an abandoned house. An eerie presence in the house, however, haunts the men to the edge of sanity.","Ali Fazal,Hussain Dalal,Areenah Fatima",Shujaat Saudagar
105,Char Cup Chai,"Action, Adventure, Drama",Four Friends who end up messing up with illegal activities,"Simmerpal Singh,Muskan Mehta,Harman Singh,Bob Khaira",Harman Singh
106,Deendayal Ek Yug Purush,Biography,"Pandit Deendayal Upadhyaya was the co-founder of Bhartiya Jana Sangh, fore-runner of Bhartiya Janata Party. He was involved in social work and also participated in the Indian freedom ...       »","Anita Raj,Deepika Chikhalia,Abhay Shukla,Anil Rastogi",Manoj Giri
107,Ghaznavi,Thriller,Follows a man who finds it hard to identify himself as he has lost his memory and the world seems new to him.,"Anil Anjunil,Avadh Ashwini,Ramendra Chakarwarti,Virender Commando",Sanoj R. Mishra
108,Pyar Mei Qurban,Drama,"The romantic action drama witness the journey of love ,relation ,fate and revenge . The war between power and Fearless convictional fight of a common man who lost his younger brother and wife in one go !.","Roma Arora,Arun Bakshi,Ebadat Bhat,Zeeshan Ahmed Khan",Zuber K. Khan
109,Death Tale,"Mystery, Thriller",,"Riya Sen,Ayaz Khan,Aditya Lakhia,Vijay Patkar",Shawn Arranha
110,The 30 Days,"Crime, Mystery, Thriller",,"Reema Kapani,Uriel Massey,Cintia Hullen,Gurpreet Singh",Julius John
111,Raashifal,Comedy,An unemployed young boy goes to horoscope reader and that pandit tells him to avoid some things and persons starting with a particular word. But after that he finds that he is so much involved with that particular word.,"Rajvir Chauhan,Inderr Damie,Gulshan Madaan,Neha Thakur",Gulshan Madaan
112,Dushu,"Adventure, Biography, Drama",,"Manuj Sharma,Kaushal Kapoor,Sugandha Srivastava,Shourya Tiwary",Himanshu Mishro Mondal
113,Nasha Jurm Aur Gangsters,"Action, Crime, Drama","Three Gangsters, Jeet, Jacky, and Basu. They are the professional mafia in town of mumbai and want to become rich and more powerful. However, something is going to mend their ways unexpectedly.","Rocky Rupkumar Patra,Rajkumar Patra,Yudhisthir,Feroz Khan",
114,RED,Thriller,The story of RED starts from a slum located on the outskirts of Mumbai. The Bhau [small time criminal] of the slum named Jaggu arrives on a motorcycle with the prettiest girl of the ...       »,"Bharat Dabholkar,Krishna Abhishek,Shantanu Bhamare,Payal Ghosh",Ashok Tyagi
115,One Way,"Action, Drama",The Story throw's light on Prarabdh Karma(The Arrow has left the bow) the evil deeds done two decades back is haunting Ranadheer and the love triangle of Pranit which can have Unfortunate consequences.,"Pravesh Singh,Deeptesh Das,Payal Khurana,Man Singh Rajput",Sachin Kumar Funde
116,India Fashion Factory,Comedy,,"Nikki Tamboli,Namashi Chakraborthy",Rajesh Bajaj
117,Shukrdosh,Comedy,"Sundar Asopa wanted opulence and contentment in his life but for that his Shukranus must reach the destination so his Shukrdosh can come to an end, but this journey turns out to be a domino effect of disasters for him.","Puneet Issar,Mugdha Godse,Grusha Kapoor,Veeraj Rao",Anup Thapa
118,Ek Kori Prem Katha,Drama,"Sabhyata, who falls in love with the village pradhaan's son, must decide how she will fight the ceremonial ritual of Kori in order to have a happy and respectful married life.","Raj Babbar,Khanak Budhiraja,Poonam Dhillon,Sarah Hussain",Chinmay Purohit
119,Bhalessa,Action,,"Anand Thakkar,Aarti Bhagat,Nihal Jain,Rajkumar Kanojia",Balvinder Singh
120,One Last Time,Crime,"Inspired by the true events, ""One Last Time"" is a story embedded in social injustice. Mukti, a young 24 year old girl decides against a relationship after a fateful night in a sleaze hotel....       »","Boloram Das,Amitosh Nagpal,K.J. Singh,Poornanand Wandhekar",Mohinder Pratap Singh
121,Love in a Taxi,"Crime, Thriller","Three entirely different cab rides in different locations in Mumbai are shown unfolding simultaneously. Each ride is fraught with high drama In one, a promiscuous man manages to book a cab ...       »","Poonam Pandey,Puneet Vashisht",Rupesh Paul
122,Fatal: Chapter 1,"Drama, Mystery",When an unidentified fingerprint is discovered on a crime scene Insp. Kadam finds himself in a spiral of deceiving clues facing a powerful foe.,"Suresh Vishwakarma,Sunil Mani,Zuber K. Khan,Manisha Tambade",Chinii Chetan
123,Walk,Drama,"When the nation is shut down by a devastating Pandemic, one man must deliver his dead friend's son back to his mother, across 1000 miles of unforgiving lockdown territory.","Archana Puran Singh,Rahul Roy,Shubham Ameta",Nitin Kumar Gupta
124,Bluff,"Crime, Drama, Mystery","A suspect of murder goes ""by hook or by crook"" way to prove himself not guilty.","Kuldeep Singh,Rakhi Nagar,Puneet Kunchhal,Moni Shankar",Ravikant Narayan
125,Raktneeti,Thriller,"Nakul, Rishi and Montu are 3 regular Delhi boys who set out on a journey to sell their car to a buyer in J&K. An accident on the way involving local MLA Abhimanyu Thakur's only son(Devan), ...       »","Rajeev Rana,Satish Bhat,Vishwash Chauhan,Durvesh Rameshwaram",Saki Shah
126,Salam-e-Madrasa,Drama,"The story revolves around 2 kids, Ali, and Imran studying at a rural Islamic school in India. They become friends with a rag picker, Bantu, while playing football at a nearby ground. Soon, ...       »","Ashok Gope Yaduvanshi,Nishant Kumar,Sharjil Ahmed Khan,Wasim Ranchvi",
